Time Stamp	Velocidad
396090847	0
396110897	0
396131066	0
396150825	0
396170828	0
396190801	0
396210921	0
396231023	0
396250797	0
396270869	0
396290839	0
396310971	0
396331075	0
396350839	0
396370877	0
396390798	0
396410929	0
396431001	0
396450800	0
396470802	0
396490805	0
396510955	0
396531005	0
396550844	0
396570846	0
396590822	0
396610982	0
396631051	0
396650804	0
396670807	0
396690805	0
396710949	0
396731002	0
396750805	0
396770887	0
396790874	0
396810983	0
396831050	0
396850848	0
396870872	0
396890806	0
396910958	0
396931006	0
396950803	0
396970804	0
396990779	0
397011009	0
397031023	0
397050806	0
397070916	0
397090813	0
397111024	0
397131009	0
397150780	0
397170811	0
397190808	0
397210979	0
397230980	0
397250778	0
397270801	0
397290821	0
397311006	0
397330983	0
397350789	0
397370861	0
397390785	0
397410987	0
397430984	0
397450783	0
397470788	0
397490782	0
397511013	0
397531014	0
397550825	0
397570851	0
397590827	0
397611064	0
397630986	0
397650762	0
397670790	0
397690788	0
397711005	0
397730955	0
397750790	0
397770789	0
397790825	0
397811035	0
397830977	0
397850801	0
397870793	0
397890780	0
397911005	0
397930955	0
397950813	0
397970791	0
397990866	0
398010820	0
398030987	0
398050818	0
398070796	0
398090802	0
398110808	0
398130990	0
398150756	0
398170785	0
398190783	0
398210793	0
398230970	0
398250805	0
398270772	0
398290772	0
398310826	0
398330956	0
398350774	0
398370798	0
398390760	0
398410808	0
398430944	0
398450779	0
398470792	0
398490810	0
398510848	0
398530969	0
398550807	0
398570844	0
398590810	0
398610853	0
398630971	0
398650760	0
398670762	0
398690778	0
398710813	0
398730969	0
398750776	0
398770776	0
398790776	0
398810884	0
398830914	0
398850751	0
398870775	0
398890762	0
398910812	0
398930915	0
398950749	0
398970773	0
398990809	0
399010923	0
399030920	0
399050795	0
399070791	0
399090785	0
399110925	0
399130929	0
399150739	0
399170765	0
399190765	0
399210883	0
399230925	0
399250786	0
399270754	0
399290757	0
399310917	0
399330835	0
399350759	0
399370853	0
399390741	0
399410866	0
399430911	0
399450758	0
399470775	0
399490828	0
399510860	0
399530921	0
399550815	0
399570829	0
399590790	0
399610921	0
399630891	0
399650743	0
399670745	0
399690760	0
399710885	0
399730897	0
399750754	0
399770772	0
399790772	0
399810899	0
399830888	0
399850758	0
399870801	0
399890720	0
399910895	0
399930872	0
399950766	0
399970792	0
399990767	0
400010904	0
400030923	0
400050767	0
400070792	0
400090792	0
400110894	0
400130903	0
400150722	0
400170751	0
400190748	0
400210973	0
400230923	0
400250770	0
400270835	0
400290783	0
400310920	0
400330920	0
400350780	0
400370781	0
400390724	0
400410899	0
400430874	0
400450770	0
400470734	0
400490772	0
400510903	0
400530924	0
400550771	0
400570771	0
400590772	0
400610949	0
400630904	0
400650701	0
400670737	0
400690732	0
400710947	0
400730953	0
400750784	0
400770771	0
400790787	0
400810961	0
400830905	0
400850716	0
400870766	0
400890728	0
400910928	0
400930906	0
400950755	0
400970739	0
400990775	0
401010953	0
401030922	0
401050750	0
401070731	0
401090750	0
401110963	0
401130954	0
401150704	0
401170741	0
401190706	0
401210987	0
401230952	0
401250734	0
401270782	0
401290767	0
401311002	0
401330925	0
401350783	0
401370770	0
401390707	0
401410956	0
401430934	0
401450739	0
401470738	0
401490766	0
401510744	0
401530929	0
401550746	0
401570754	0
401590766	0
401610718	0
401630990	0
401650708	0
401670725	0
401690709	0
401710730	0
401730965	0
401750745	0
401770735	0
401790744	0
401810721	0
401830937	0
401850723	0
401870723	0
401890715	0
401910710	0
401930711	0
401950699	0
401970729	0
401990713	0
402010782	0
402030996	0
402050734	0
402070713	0
402090733	0,5
402110747	0,5
402130783	0,5
402150687	0,5
402170723	0,5
402190688	0,5
402210748	0,5
402230748	0,5
402250734	0,5
402270734	0,5
402290702	1
402310785	1
402330788	1
402350735	1
402370745	1
402390689	1
402410764	1
402430740	1,5
402450702	1,5
402470737	1,5
402490716	1,5
402510750	1,5
402530786	1,5
402550737	1,5
402570717	1,5
402590737	2
402610828	2
402630808	2
402650691	2
402670818	2
402690694	2
402710827	2
402730843	2,5
402750706	2,5
402770869	2,5
